Complex_Sentence_ID,Annotated_Triples
CS161,"(Beasley; be shot; August 2012),(He; drove; himself to a hospital),(He; released; following day)"
CS162,"(Copley; born in; Ingham; Queensland),(He; moved to; Brisbane),(He; moved at; a young age),(He; played; junior rugby league),(He; played; Aspley Devils),(He; attended; Wavell State High School),(He; signed by; Brisbane Broncos)"
CS163,"(Tracy; born in; Cincinnati),(She; has lived in; Ohio),(She; has lived; all her life),(She; attended; Colerain High School)"
CS164,"(Bavo; decide to reform himself; after wife's death),(Bavo; heard; sermon preached by a monk),(a monk; preached; sermon),(Saint Amand; preached; sermon),(Bavo; inspired by; sermon)"
CS165,"(Anshu Gupta; founded; organisation),(organisation; founded by; Anshu Gupta),(Anshu Gupta; founded in; 1999),(organisation; founded in; 1999),(He; left; corporate job),(He; begin; organisation),(Organisation; founded in; Sarita Vihar; New Delhi)"
CS166,"(Anshu Gupta; found; it),(Anshu Gupta; founded; in 1999),(He; left; corporate job),(He; start; organisation),(It; located; Sarita Vihar; New Delhi)"
CS167,"(Ferry; runs from; Ferry Lane),(Ferry Lane; in; Shepperton),(ferry; goes to; south bank of the river),(Weybridge; is a short walk from; Thames Street),(Thames Street; located in; Weybridge),(Ferry; situated; just below Shepperton Lock),(Shepperton Lock; is on; the reach above Sunbury Lock),(the reach; above; Sunbury Lock)"
CS168," (It; has; 150 young stars),(150 young stars; are; more massive and larger than Sun),(Stars; possess; very high luminosity),(Stars; life span; few million years)"
CS169,"(Palladio Film; is; international production company),(international production Company; is; Palladio Film),(Palladio Film; is based in; Cologne),(Palladio Film; is based in; London),(Palladio Film; specialize in; feature films),(Palladio Film; specialize in; documentaries)"
CS170,"(Palladio Film; is; an International production company),(company; based in; Cologne),(company; based in; London),(They; specialize in; feature films),(They; specialize in; documentaries)"
CS171,"(He; is; an international speaker and writer),(He; published; 24 books)"
CS172,"(He; is; an international speaker),(He; is; a writer),(He; published; 24 books)"
CS173,"(He; is; an international speaker and writer),(He; has published, 24 Books)"
CS174,"(Ngondoma Dam; was built; 1967),(Kwekwe; located north-west to; 67km),(Kadoma; located south-west to; 54km),(The Dam; supplied; water),(The Dam; supplied; Empress Nickel Mine),(The Dam; supplied; Ngondoma Irrigation Scheme)"
CS175,"(Mitchum; praises; those who have come out),(Mitchum; acknowledges; coming out may not be safe for LGBT people in multiple marginalized communities),(LGBT people in multiple marginalized communities; may not be safe for; coming out)"
CS176,"(Mitchum; praises; those who have come out for their bravery),(Mitchum; acknowledges; that coming out may not be safe for LGBT people in marginalized communities),(LGBT people in marginalized communities; may not be safe; coming out)"
CS177," (Most people; speak; Oromo),(Most people; speak; Harari),(Most people; speak; Somali),(Ethiopia; inhabit; Most people),(Qallu; referred to as; languages)"
CS178,"(She; was involved in; activities at Duke),(She; served as; treasurer of Chi Omega sorority),(She; was president of; field hockey club),(field hockey club; had; She)"
CS179,"(She; served as; Treasurer),(She; served as; Chi Omega sorority),(She; served as president of; field hockey club),(She; was involved in; activities at Duke)"
CS180,"(She; was involved in; activities at Duke),(She; served as treasurer of; Chi Omega sorority),(She; served as president of; field hockey club)"
CS181,"(A tornado; touched down on; 6 June 2010),(Fermi 2 generator building; damaged; It),(The tornado; caused; automatic shutdown),(Over 30000 people; lost; power),(power; lost in; the area)"
CS182,"(A weak tornado; touched down on; 6 June 2010),(Fermi 2 generator building; was damaged by; It),(The tornado; caused; automatic shutdown),(Over 30000 people; were left; without power),(Area; left; without power)"
CS183,"(Various jurisdictions; have; different definitions of assault weapons),(Government; have tried to change; definitions of assault weapons),(Many jurisdictions; Limit/Prohibit; Manufacture of assault weapons),(Many jurisdictions; Limit/Prohibit; Importation of assault weapons),(Many jurisdictions; Limit/Prohibit; Sale of assault weapons),(Many jurisdictions; Limit/Prohibit; Possession of assault weapons),(Laws; regarding; assault weapons),(assault weapons; are often; amended)"
CS184,"(Different jurisdictions; have varying definitions of; assault weapons),(Attempts; are made to; change),(Definition; of; Assault Weapons),(Manufacture; limited/prohibited; assault weapons),(Importation; limited/prohibited; assault weapons),(Sale; limited/prohibited; assault weapons),(Possession; limited/prohibited; assault weapons),(Legislatures; try to alter; definitions of assault weapons)"
CS185,"(definition; varies; jurisdiction),(Its; defines; vary),(Its; refers; different),(Government; limit/prohibit; manufacture/importation/sale/possession of assault weapons),(Legislative attempts; are often made to change; definitions of assault weapons)"
CS186,"(Scandinavia; influenced by; Timber),(Timber; influenced; Architecture in Scandinavia),(Timber; construct; roofs),(Europe; construct; roofs)"
CS187," (Faizi; is going to; Switzerland),(Faizi; is studying; hotel management at the University of Lausanne),(He; returns; with much fanfare),(He; completes; course),(He; has studied; to become a chef),(He; Has not studied; Hotel Management)"
CS188,"(Daniel; be; mortally wounded),(He; give; Arytom),(He; give; reward),(Reward; is; envelope),(envelope; contain; directions),(directions; lead to; missile silo)"
CS189,"(Daniel; is wounded; mortally),(He; gives; Arytom),(He; reward; Arytom),(The reward; is; an envelope containing directions to a functioning missile silo)"
CS190,"(Daniel; be; mortally wounded),(He; gives; Arytom),(Arytom; receives; reward),(Reward; contains; envelope),(Envelope; contains; directions),(Directions; lead to; missile silo)"
CS191,"(band; experiment; altered states of consciousness),(band; occur; Reformation Day),(They; rehearsed; night),(They; rehearsed; riff),(They; jamming; riff),(They; played; extended periods of time),(They; played; longer freeform improvised pieces of music)"
CS192,"(band; experimenting with; altered states of consiousness),(band; beginning experimenting; after Reformation Day),(They; rehearsed; night),(They; rehearsed; riff),(They; rehearsed; extended periods of time),(They; improvised; longer pieces of music)"
CS193,"(band; began experimenting with; altered states of consciousness),(Reformation Day; caused; altered states of consciousness),(They; rehearsed; frequently),(They; jamming; night),(They; jamming; riff),(They; jamming; extended periods of time),(They; created; longer freeform improvised pieces of music)"
CS194,"(John von Neumann; studied; equivalence groups),(He; identified; class of amenable groups),(These groups; have; no paradoxical decompositions)"
CS195,"(Angry crowds; burned; books),(Angry crowds; ended; war),(War; ended; public),(Hamsun; was imprisoned in; a psychiatric hospital),(Hamsun; was imprisoned for; several months)"
CS196," (Angry crowds; burned; his books),(Angry crowds; burned; in public),(War; ended; Angry crowds),(Hamsun; was confined to; psychiatric hospital),(Hamsun; for; several months)"
CS197,"(He; is; a hypnotist),(He; is ; an I Ching practitioner),(He; has experimented; successfully with occult therapeutic techniques)"
CS198,"(Amasova; is an agent of; KGB),(Amasova; is in; film),(Amasova; agent of ; Otdyel IV),(Otdyel IV; novelisation by ; Christopher Wood),(SMERSH; is; a department of Otdyel IV)"
CS199,"(solvents; separation of; reaction components),(non-traditional solvents; simpler with; separation of reaction components),(Evaporation; be used to separate; reaction components),(Condensation; be used to separate; reaction components),(Evaporation; is; a viable option),(Solvent; of; Evaporation),(Reaction components; for separating; Evaporation),(Air; into; Solvent),(Recycling; of; solvent),(Recycling; be; possible),(Solvent; condense; cold vessel),(Solvent; recycle; cold vessel)"
CS200,"(separation; is simpler than; traditional organic solvents),(Evaporation; into; air),(Evaporation; recyling; condensation),(condensation; into; cold recovery vessel),(method; simpler; separation)"
CS201,"(Morrison; pleaded guilty to; threatening and breach of peace charges),(Morrison; occurred on; 3 July 2013),(The strangulation charge; was dropped; April 2014),(The strangulation charge; occurred in; April 2014)"
CS202,"(Morrison; pleaded guilty; 3 July 2013),(Charge; Dropped; April 2014),(Strangulation Charge; Dropped; April 2014)"
CS203,"(It; is updated; manually),(It; includes; versions of articles),(versions of articles; have been; previously deleted)"
CS204,"(It; includes; versions of articles),(versions of articles; have been; previously deleted)"
CS205," (Salt Lake City; is between; Wasatch Range),(Salt Lake City; is between; Mount Nebo),(Nephi; Utah; lies),(Wasatch Range; located at; Southern End),(Mount Nebo; is the highest peak; in the Wasatch Range)"
CS206,"(Salt Lake City; is located; between the Wasatch Range),(Salt Lake City; is located; Mount Nebo),(Mount Nebo; rises above; Nephi; Utah),(Mount Nebo; is; highest peak),(highest peak; in; Wasatch Range)"
CS207,"(The Philippines; has; many islands),(Philippine islands; inhabit; Several ethnic groups),(Several ethnic groups; inhabit; Philippine islands),(Most of their languages; come from; Austronesian)"
CS208,"(The Philippines; have; many islands),(These islands; be home to; many ethnic groups),(Many ethnic groups; live in; these islands),(islands; speak; Austronesian),(Most; spoken; Austronesian),(languages; are; Austronesian)"
CS209,"(The Philippines; have; many inhabited islands),(ethnolinguistic groups; live; islands),(groups; inhabit; islands),(Most of these languages; are; Austronesian)"
CS210,"(Jull Weber; is from; Puerto Rico),(Honey Estrella; is from; Dominican Republic),(Jull Weber; conduct; Program),(Hony Estrella; conduct; Program)"
CS211,"(Harry Binswanger; born; Richmond; Virginia),(Harry Binswanger; be raised in; Richmond; Virginia),(Binswanger Glass Co.; founded; 1872),(Samuel Binswanger; founded; Binswanger Glass Co.)"
CS212," (U.S. Congress; passed; Spooner Amendment),(Spooner Amendment; passed on; 2 March 1902),(The Amendment; was to; Army Appropriation Act),(President; establish; civil government in Philippines)"
CS213,"(Congress; passed; Spooner Amendment),(Spooner Amendment; passed by; Congress),(Spooner Amendment; passed on; 2 March 1902),(The amendment; allowed; President),(President; create; civil government),(civil government; in; Philippines),(The Spooner Amendment; was an amendment to; the Army Appropriation Act),(The Spooner Amendment; pertained to; the Army Appropriation Act),(U.S. Congress; passed; Spooner Amendment),(Spooner Amendment; passed in; 1902)"
CS214,"(Lohr; grew; size and importance),(Lohr; grew; 1295 CE),(County Rieneck; become; Center)"
CS215,"(Dr Samuel Fisk Green; founded; The Green Memorial Hospital),(The Green Memorial Hospital; located in; Manipay Sri Lanka),(The Green Memorial Hospital; founded in; 1848),(The Green Memorial Hospital; established in; 1848),(Manipay; located in; Sri Lanka),(Dr Samuel Fisk Green; set up; The Green Memorial Hospital),(Dr Samuel Fisk Green; establish; The Green Memorial Hospital),(The Green Memorial Hospital; located in; Manipay),(Dr Samuel Fisk Green; do; establish The Green Memorial Hospital in 1848)"
CS216,"(Dr Samuel Fisk Green; found; Green Memorial Hospital),(Dr Samuel Fisk Green; locate; Manipay; Sri Lanka),(Green Memorial Hospital; establish in; 1848),(The Green Memorial Hospital; was established in; Manipay),(The Green Memorial Hospital; is located in; Sri Lanka),(The Green Memorial Hospital; was established in; 1848),(Dr Green; establish; Green Memorial Hospital),(Green Memorial Hospital; be located in; Sri Lanka),(Green Memorial Hospital; be founded in; 1848),(Green Memorial Hospital; originated in; Manipay Sri Lanka),(Green Memorial Hospital; located in; Manipay Sri Lanka),(Green Memorial Hospital; established in; 1848),(Green Memorial Hospital; founded in; 1848),(Green Memorial Hospital; located in; Manipay Sri Lanka)"
CS217,"(Dr Samuel Fisk Green; founded; Green Memorial Hospital),(Green Memorial Hospital; in; Manipay),(Green Memorial Hospital; in; Sri Lanka),(Green Memorial Hospital; founded; 1848),(The Green Memorial Hospital; was established; in Manipay; Sri Lanka),(The Green Memorial Hospital; was established; in 1848),(Green Memorial Hospital; found; 1848),(Green Memorial Hospital; located; Manipay; Sri Lanka),(Dr Samuel Fisk Green; is the founder of; Green Memorial Hospital),(Green Memorial Hospital; located in; Manipay),(Green Memorial Hospital; located in; Sri Lanka)"
CS218,"(Canadian cavalry; fought; through the wood),(them; be forced; eastwards),(German machine gun; fire; them),(Canadian Dragoons; wheeled into; woods),(German; attack; this action),(this action; caused by; German attack)"
CS219,"(Canadian cavalry; fought; wood),(wood; fought through; Canadian cavalry),(German; fired; machine gun),(them; forced; eastwards),(Units of the Canadian Dragoons; had to wheel; into the woods),(Units of the Canadian Dragoons; located at; north),(German; cause; movement)"
CS220,"(Weston Williamson; develop; offices),(Weston Williamson; build; offices),(Weston Williamson; build in; 2002),(Their; located on; Tower Bridge Road),(Their; located in; London),(office; has; 60 architects),(architects; working on; various projects)"
CS221,"(Weston Williamson; develop; offices),(Weston Williamson; build; offices),(Weston Williamson; develop; London),(Weston Williamson; build; London),(offices; develop in; 2001),(offices; build in; 2001),(Their office; is on; Tower Bridge Road),(It; have; 60 architects),(60 architects; working on; different projects)"
CS222,"(Giske Bridge; opened; 1987),(Giske Bridge; had; toll),(Giske Bridge; ceased; toll)"
CS223,"(Giske Bridge; opened; 1987),(Giske Bridge; have; toll),(Giske Bridge; remove; toll),(Giske Bridge; apply; toll) until 2009"
CS224,"(It; built; 1837),(It; closed down; ten years later),(The furnace; came into use; during the American Civil War)"
CS225,"(It; built; 1837),(It; close down; ten years later),(The furnace; came into use; again),(American Civil War; came into use; The furnace)"
CS226,"(Stevens; be Senate President for; four terms from 2009 to 2012),(He; led; bipartisan coalition),(bipartisan coalition; include; 10 Democrats),(bipartisan coalition; include; 6 Republicans)"
CS227," (Storytelling; have; ancient roots),(Art; have; ancient roots),(Most cultures; have; traditional fables),(Traditional fables; have; animals),(Animals; are; characters),(Animals; feature in ; Fables),(Fables; feature ; Animals in human-like roles)"
CS228," (storytelling; have; ancient roots),(art; have; ancient roots),(Most cultures; have; traditional fables),(Traditional fables; have; animals as characters),(Animals; given; human-like characteristics),(Animals; have; traditional fables)"
CS229," (Both storytelling; have; ancient roots),(Storytelling; have; ancient roots),(Art; have; ancient roots),(Most cultures; have; traditional fables),(Traditional Fables; take on; human characteristics),(Animals; have; human characteristics)"
CS230,"(Private individuals; provided; priests),(Private individuals; provided; temples),(Private individuals; provided; sacrifices),(religious clubs; be created; purpose)"
CS231,"(Private individuals; provided; priests),(Private individuals; provided; temples),(Private individuals; provided; sacrifices),(sacrifices; for; other deities),(Many religious clubs; were created for; this purpose)"
CS232,"(private individuals; provided; priests),(private individuals; provided; temples),(private individuals; provided; sacrifices),( sacrifices; for; other deities),(Many religious clubs; were created; for this purpose)"
CS233,"(He; has won; 48 events on the Japan Golf Tour),(48 events on the Japan Golf Tour; is won by; He),(He; be; leading money winner in 1982),(He; be; leading money winner in 1983),(He; be; leading money winner in 1985),(He; be; leading money winner in 1986)"
CS234,"(He; has won; 48 events on the Japan Golf Tour),(He; was the leading money winner; 1982),(He; was the leading money winner; 1983),(He; be; leading money winner in 1985),(He; be; leading money winner in 1986)"
CS235,"(Urchin Software Configuration Management system; is; free),(The Urchin Software Configuration Management system; is; open source),(The Urchin Software Configuration Management system; is; open),(Urchin Software Configuration Management system; is; open source),(solution; manage; configuration),(enterprise scale solution; provide; manage),(configuration; manage; software applications),(these applications; run on; many servers),(many servers; across; enterprise)"
CS236,"(Urchin Software Configuration Management system; be; free),(Urchin Software Configuration Management system; be; open source),(Solution; provides; enterprise scale solution),(enterprise scale solution; manages; configurations of many software applications),(Applications; run; many servers),(Many servers; across; enterprise)"
CS237,"(Nitric oxide; can diffuse; all over),(Nitric oxide molecules; act on; neurons),(neurons; be acted on by; Nitric oxide molecules),( Nitric oxide molecules; act on; neurons),(neurons; not connected by; synapses),(neurotransmitter; transmit; information),(neuron; transmit; information)"
CS238,"(nitric oxide; diffuses; all over),(It; act on; neurons),(It; act on; synapse)"
CS239,"(Viral RNA transcript; inhibits; expression of ICP0 gene),(expression of ICP0 gene; inhibited by; Viral RNA transcript),(Antisense RNA mechanism; is used; during latent infection),(Antisense RNA mechanism; has function; latent infection control)"
CS240,"(Viral RNA Transcript; Inhibits Expression Of; Gene),(ICP0; is inhibited by; antisense RNA mechanism),(Viral RNA Transcript; inhibits; Gene Expression),(Latent Infection; affects; Gene Expression),(Antisense RNA; inhibits; ICP0 expression),(ICP0; inhibited by; Antisense RNA)"
CS241,"(He; referred to as; Prince of Tollywood),(Prince of Tollywood; referred by; media),(He; is; a very popular and influential actor in Telugu cinema),(He; is; very popular),(He; is; influential),(He; is; an actor in Telugu cinema),(Audience; labelled him as; Superstar of Telugu cinema)"
CS242,"(He; referred to as; Prince of Tollywood),(Prince of Tollywood; referred to as; He),(He; be; one of the most popular and influential actors in Telugu cinema),(He; have; popularity),(He; have; influence),(The audience; describe; him),(him; be; superstar of Telugu cinema)"
CS243,"(He; referred to as; Prince of Tollywood),(He; referred to as; media),(He; is; popular),(He; is; influential),(He; is; actor),(He; in; Telugu cinema),(The audience; describe; him),(him; is; the superstar of Telugu cinema)"
CS244,"(school; divided into; two sections),(road; bisects; entrance),(entrance; bisected by; road),(Underpass; Connected By; Gymnasium),(Gymnasium; Has; Mezzanine),(The mezzanine; is used; as an art gallery),(The mezzanine; function; art gallery)"
CS245,"(school; divide; primary section),(school; divide; secondary section),(road; bisected; entrance),(underpass; connect; gymnasium),(The gymnasium; has; mezzanine),(The mezzanine; is sometimes used as; an art gallery)"
CS246," (Lord Wei; is; only ethnic Chinese peer in The House of Lords),(Lord Wei; is; ethnic Chinese),(The House of Lords; has; Lord Wei),(He; takes; interest),(He; takes; British Chinese community issues),(He; focuses; social reform),(UK; strengthen economic ties; China),(UK; strengthen cultural ties; China)"
CS247,"(Jim; Moved; New York City),(Jim; From; Nashville),(Jim; Year; 2004),(He; found; position),(position; at; Marvel Comics),(He; handled; publicity),(He; handled; PR),(He; handled; publishing),(He; for; publishing),(He; managed; press),(He; managed; panels),(He; managed; conventions),(Press; at; conventions),(Panels; at; conventions)"
CS248,"(Jim; moved to; New York City),(Jim; moved from; Nashville),(New York City; moved to; 2004),(Nashville; moved from; 2004),(Jim; found; job),(job; at; Marvel Comics),(His; handling; publicity),(His; handling; PR),(His; handling; publishing),(He; managed; press),(He; managed; panels),(He; managed; conventions)"
CS249,"(reserves; had moved; close to the front),(The reserves; be ready; to exploit a breakthrough),(They; had advanced; on time),(Reserves; bunched up with; Leading divisions),(communication; block; lines),(The reserves; suffered; casualties),(The reserves; held up; casualties)"
CS250,"(Faillouox; has been around; five centuries),(Faillouox; mentioned; 1445)"
CS251,"(Faillouox; have; long history),(Faillouox; have; five centuries),(Faillouox; dates back to; 1445)"
CS252,"(It; decide; sell),(premises; sell; Great Patrick Street),(A new feed mill; will be built; in the Belfast Harbour Estate),(A new office block; will be built; in the Belfast Harbour Estate)"
CS253,"(Active shutter 3D systems; be used for; 3D films in theaters),(CRT; present; 3D images),(plasma; present; 3D images),(LCD; present; 3D images),(3D Films; can be displayed; with Active shutter 3D systems),(3D images; can be displayed; with Active shutter 3D systems)"
CS254,"(Active shutter 3D systems; are used to; present 3D films),(Active shutter 3D systems; present; 3D films),(some theaters; present; 3D films),(3D images; be used for; CRT),(3D images; be used for; plasma),(3D images; be used for; LCD),(3D images; be used for; video displays)"
CS255," (Active shutter 3D systems; used to; present 3D films),(CRT; present; 3D images),(plasma; present; 3D images),(LCD; present; 3D images),(video displays; present; 3D images)"
CS256,"(They; live in; Pleasanton; Florida),(They; have; two sons),(Mr. T; played; football),(Pain; played; football),(Mr. T; played; Pain),(football; played at; Brown University),(Mike Rowe; attended; Monsters University),(He; started; as a bench warmer on the football team)"
CS257,"(Walavne; No have; Railway station),(Nearest railway station; Located; Ranjangaon Road),(Ranjangaon Road; is; small village),(Ranjangaon Road; in; Parner taluka)."
CS258,"(Walavne; have; Railway Station),(The nearest Railway Station; is in; Ranjangaon Road),(Ranjangaon Road; is; small village),(Ranjangaon Road; located in; Parner Taluka)"
CS259,"(He; returned to; Genoa),(He; returned in; 1916),(He; opened; studio),(He; opened; Genoa),(He; worked; portrait artist),(He; paint; landscapes),(He; be; native of Liguria),(He; covered; entire region),(He; covered; neighbouring regions)"
CS260,"(He; return to; Genoa),(He; return to; 1916),(He; opened; studio),(He; was; portrait artist),(He; painted; landscapes of Liguria),(landscapes of Liguria; painted by; He),(He; covered; region),(He; painted; neighbouring regions)"
CS261,"(They; built; palace),(The palace; was; large),(It; be located; on the hill of Bribir),(area; control; It),(It; be; ideal place),(sea; overlooks; roads),(sea; overlooks; approaches)NA"
CS262,"(Arjuna; be unaware of; Karna being his brother),(Kunti; informed; Karna),(Kunti; of; brotherhood),(Karna; of; brotherhood),(Karna; knew; they were brothers),(Karna; decided to fight; Arjuna)"
CS263,"(He; got; primary education),(He; got education in; South America),(He; moved; United States),(He; moved in; 1987)"
CS264,"(He; renamed; shipping department),(He; renamed; Anchor Line of Steam Packet),(shipping department; renamed to; Anchor Line of Steam Packet),(renaming; happened in; 1870),(He; commissioned; pennant),(He; designed; artist William Cook),(The pennant; featured; an anchor)"
CS265,"(He; moved; to Jerusalem),(He; moved; in early 1990s),(He; was; 21),(He; studied at; Rubin Academy of Music and Dance),(He; received; M.A.),(He; received; piano),(His; taught by; Meira Smailovic),(His; taught by; Arbo Valdma),(His; taught by; Irina Berkovich)"
CS266,"(He; move; Jerusalem),(He; move; early 1990s),(He; be; 21),(He; move; 21),(He; attended; Rubin Academy of Music and Dance),(He; in; Jerusalem),(He; obtained; M.A. in piano),(He; studied under; Meira Smailovic),(He; studied under; Arbo Valdma),(He; studied under; Irina Berkovich)"
CS267,"(La Calle; is; port town),(This; in; province)"
CS268,"(La Calle; is a; port town),(La Calle; is in; this Province)"
CS269,"(Kate; became; strong Category 3 hurricane),(strong Category 3 hurricane; on; October 4),(Kate; move; southeast of Newfoundland),(Kate; be; Category 1 hurricane)"
CS270,"(Hedgehogs; have; gestation period),(gestation period; be; 30-40 days),(Range; can; 3-10 hoglets),(This species; produces; two litters),(two litters; occur in; season)"
CS271," (La Gloria; is a municipality of; Cesar Department of Colombia),(Cesar Department of Colombia; contains; La Gloria),(La Gloria; is located in; Southeastern part of Cesar Department)"
CS272,"(La Gloria; is in; Southeastern part of Cesar),(La Gloria; is in; Colombia),(La Gloria; is; municipality),(municipality; of; Cesar),(La Gloria; is in; Colombia)"
CS273,"(Fiji; be found in; It),(Fiji; breeds on; all the islands),(Rotuma; exclude from; breeding)"
CS274,"(It; is endemic to; Fiji),(It; breeds; on all the islands except Rotuma),(all the islands; except; Rotuma)"
CS275,"(It; native to; Fiji),(Fiji; breed on; all the islands),(Fiji; exclude; Rotuma)"
CS276," ( There; have; approximately 2000 mantid species worldwide ),( Mantid species; are located; worldwide ),(Mantid species; found; Asia),(The majority of mantid species; are; found in Asia)"
CS277,"( There; are around; 2000 mantid species ),(Most of these species; found in; Asia)"
CS278,"(Hopton; be; temporarily blinded),(Ammunition Cart; Exploded; ),(Explosion; cause; Blindness),(army; be short of; gunpowder)"
CS279,"(Hopton; be blinded; temporarily),(The next day; cause; Hopton's temporary blindness),(Hopton; cause; blindness),(ammunition cart; explode; blindness),(army; be short of; gunpowder)"
CS280,"(Construction; took; three years),(Divine service; was held; in 1848),(The consecration; occurred on; 25 July 1848)"
CS281,"(Construction; take; three years),(Divine service; began; 1848),(New cathedral; service began; 1848),(new cathedral; consecrated; 25 July 1848)"
CS282,"(Construction of the new cathedral; took; three years),(The first divine service; began on; 25 July 1848),(The first divine service; took place at; the cathedral),(Cathedral; be consecrated; 25 July 1848),(Cathedral; have consecration date; 25 July 1848)"
CS283,"(He; carried; out brutal medical experiments),(He; conducted; brutal medical experiments),(He; be responsible for; medical experiments),(Nazi concentration camp prisoners; subjected to; medical experiments),(He; have; SS rank)"
CS284,"(Vanunu; was; abducted),(He; lured; Rome),(He; smuggled; sea),(He; was tried; Israel),(Israel; tried; He),(He; was sentenced to; 18 years in prison)"
CS285,"(Vanunu; be; abducted),(He; lured; Rome),(He; smuggled; Israel),(He; smuggled; by sea),(He; was tried; 18 years in prison),(He; was sentenced to; 18 years in prison)"
CS286,"(He; attacked; hunters),(He; was; a white whale)"
CS287,"(City; bought; Threefoot Building),(Building; was planned for; Renovation),(Renovation; was planned for; former office building),(The Riley Center; was; almost completed),(The Riley Center; had been; almost completed),(building; be converted into; luxury hotel),(A Jackson firm; was hired for; the renovation)"
CS288,"(The Riley Center; was nearly; completed),(city; bought; Threefoot Building),(A Jackson renovation firm; was hired; to convert the office building into a luxury hotel),(A Jackson renovation firm; convert; the office building),(The office building; converted; into a luxury hotel)"
CS289," (He; married; Sarah Winter),(The couple; have; eight children),(eight children; belong to; The couple)"
CS290,"(He; married; Sarah Winter),(The couple; have; 8 children)"
CS291,"(He; married; Sarah Winter),(The couple; have; 8 children)"
CS292,"(Ghanaian midfielder; move to; VfB Stuttgart),(VfB Stuttgart; complete; Ghanaian midfielder),(January 2017; complete; move),(He; moved; duringJanuary transfer window),(Black Stars; compete in; Africa Cup of Nations),(He; moved; 31 January 2017)"
CS293,"(A Champagne Edition convertible; was launched; in 1978),(convertible; available in; blue),(convertible; available in; red metallic paint),(interior; have; white leatherette)"
CS294,"(A Champagne Edition convertible; was launched; in 1978),(Paint; available in; blue),(Paint; available in; red),(Paint; has color of; blue),(Paint; has color of; red),(Paint; is color of; blue),(Paint; is color of; red),(Paint; is type of; metallic),(interior; be; white leatherette)"
CS295,"(Russia; experienced; strong economic growth),(Russia; experienced; growth in 2000s),(Growth; slowed down; dramatically in 2012),(Reforms; have come along; at a slower pace),(The World Bank; reported on; Russia's economic growth)"
CS296,"(Russia; experienced; strong economic growth),(Russia; experienced; in the 2000s),(economic growth; slowed; significantly),(Reforms; had progressed; Not Fast Enough),(Reforms; had progressed; Slowly),(The World Bank; noted; Russia's growth),(The World Bank; noted; Russia's decline)"
CS297,"(Russia; had; strong economic growth),(strong economic growth; in; 2000s),(growth; slowed down; 2012),(Reforms; have come; slower pace),(The World Bank; reported; Russia's economic growth),(Russia; had; economic growth)"
CS298,"(emergency; create; uneasy calm),(two years; last; uneasy calm),(Discontent; lead to; wave in favour of the Janata party),(Janata Party; swept; Congress),(Congress; swept in; 1977)"
CS299,"(year; last; two years),(emergency; see; uneasy calm),(Janata party; support; wave),(Congress; swept away; 1977)"
CS300,"(Emergency; lasted; two years),(Emergency; brought; uneasy calm),(Discontentment; grew; 1977),(wave of support; emerged; 1977),(Congress; voted out of power; )"
CS301," (early missionaries; arrived in; Lahaina),(early missionaries; arrived in; 1823) They; explained; importance They; explained; Hawaiian Royalty They; explained; educational institution(small grave yard; contain; number of them)"
CS302,"(She; founded; Toronto Arts for Youth Award),(She; has worked as; an instructor),(She; is employed by; George Brown College),(George Brown College; teaches; theatre program)"
CS303,"(She; founded; Toronto Arts for Youth Award),(She; has worked as; instructor),(She; for; theatre program),(Theatre program; at; George Brown College)"
CS304,"(Vessels; Have; Anti Pollution Role),(They; be in; active service),(September; was case in; 2014)"
CS305," (These vessels; have; an anti-pollution role),(vessels; have; anti-pollution role),(They; be in active service; still),(It; is; September 2014)"
CS306," (The line; ran through; Todd Lane),(Preston; to; Bamber Bridge),(Todd Lane; until; 1972),(Lostock Hall Gas Works; served; line),(line; served; Lostock Hall Gas Works),(Lostock Hall Gas Works; until; 1972),(line; open for; freight trains),(freight trains; open until; 1972)"
CS307,"(The United States; disagree with; Europe),(Europe; disagree with; The United States),(The United States; have issue with; Europe),(Europe; have issue with; The United States)Not applicable."
CS308,"(The United States; disagree about; things),(Europe; disagree about; things),(They; agree on; other topics),(He; came to; dance),(He; came to; late in life)"
CS309,"(His; led to; rapid promotion),(Theodore; is an employee of; Acme Inc.),(Theodore; is employed by; Acme Inc.),(He; made; first appearance on Paris stage),(Walker; approaching; 60 years of age)"
CS310,"(He; appear; minor roles),(He; appear; two decades),(He; retain; fan base),(fan base; from; Cheyenne days),(He; is; popular guest),(He; attends; Western film festivals),(Jonathan Thirkield; is; American poet)"
CS311,"(Jonathan Thirkield; lives in; New York City),(Jonathan Thirkield; is; American poet),(Jonathan Thirkield; nationality; American)"
CS312,"(Jonathan Thirkield; lives; New York City),(TMC; has; medical staff),(medical staff; have; over 1000 physicians)"
CS313,"(2200 workers; complemented by; It ),(These workers; be engaged in; allied medical),(These workers; be engaged in; administrative),(These workers; be engaged in; support services),(Southfort; is a community in; DeSoto County; Florida)"
CS314,"(Southfort; is located; south of Fort Ogden),(Southfort; is located; on U.S. Route 17),(Southfort; is; an unincorporated community),(Southfort; locate in; United States),(Southfort; is; unincorporated community),(Southfort; is located in; Florida)"
CS315,"(Southfort; located south of; Fort Ogden),(Southfort; is situated on; U.S. Route 17),(Southfort; lies in; DeSoto County; Florida),(Southfort; is; an unincorporated community),(Southfort; located in; Florida),(an unincorporated community; located in; Florida)"
