Simple_Sentence_ID,Complex_Sentence_ID,Annotated_Triples,
CS174-SIM-3,CS174,"(The Dam,supplied,water)(The Dam,supplied,Empress Nickel Mine)(The Dam,supplied,Ngondoma Irrigation Scheme)",
CS175-SIM-1,CS175,"(Mitchum, praises, those who have come out)",
CS175-SIM-2,CS175,"(Mitchum, acknowledges, coming out may not be safe for LGBT people in multiple marginalized communities)(LGBT people in multiple marginalized communities, may not be safe for, coming out)",
CS176-SIM-1,CS176,"(Mitchum, praises, those who have come out for their bravery)",
CS176-SIM-2,CS176,"(Mitchum,acknowledges,that coming out may not be safe for LGBT people in marginalized communities)(LGBT people in marginalized communities,may not be safe,coming out)",
CS177-SIM-1,CS177," (Most people, speak, Oromo)  (Most people, speak, Harari)  (Most people, speak, Somali) (Ethiopia, inhabit, Most people)",
CS177-SIM-2,CS177,"(Qallu, referred to as, languages)",
CS178-SIM-1,CS178,"(She, was involved in, activities at Duke)",
CS178-SIM-2,CS178,"(She, served as, treasurer of Chi Omega sorority)",
CS178-SIM-3,CS178," (She,was president of,field hockey club) (field hockey club, had, She)",
CS179-SIM-1,CS179,"(She, served as, Treasurer), (She, served as, Chi Omega sorority)",
CS179-SIM-2,CS179,"(She, served as president of, field hockey club)",
CS179-SIM-3,CS179,"(She, was involved in, activities at Duke)",
CS180-SIM-1,CS180,"(She, was involved in, activities at Duke)",
CS180-SIM-2,CS180,"(She, served as treasurer of, Chi Omega sorority)",
CS180-SIM-3,CS180,"(She, served as president of, field hockey club)",
CS181-SIM-1,CS181,"(A tornado, touched down, on June 6, 2010)",
CS181-SIM-2,CS181,"(Fermi 2 generator building, damaged, It)",
CS181-SIM-3,CS181,"(The tornado, caused, automatic shutdown)",
CS181-SIM-4,CS181,"(Over 30,000 people, lost, power) (power, lost, in the area)",
CS182-SIM-1,CS182,"(A weak tornado, touched down, on June 6, 2010)",
CS182-SIM-2,CS182,"(Fermi 2 generator building,was damaged by,It)",
CS182-SIM-3,CS182,"(The tornado, caused, automatic shutdown)",
CS182-SIM-4,CS182," (Over 30,000 people,were left,without power)  (Area,left,without power)",
CS183-SIM-1,CS183,"(Various jurisdictions,have,different definitions of assault weapons)",
CS183-SIM-2,CS183,"(Government,have tried to change, definitions of assault weapons)",
CS183-SIM-3,CS183,"(Many jurisdictions, Limit/Prohibit, Manufacture of assault weapons), (Many jurisdictions, Limit/Prohibit, Importation of assault weapons), (Many jurisdictions, Limit/Prohibit, Sale of assault weapons), (Many jurisdictions, Limit/Prohibit, Possession of assault weapons)",
CS183-SIM-4,CS183," (Laws,regarding,assault weapons),  (assault weapons,are often amended,null)",
CS184-SIM-1,CS184,"(Different jurisdictions, have varying definitions of, assault weapons)",
CS184-SIM-2,CS184,"(Attempts, are made to, change)(Definition, of, Assault Weapons)",
CS184-SIM-3,CS184," (Manufacture, limited/prohibited, assault weapons)  (Importation, limited/prohibited, assault weapons)  (Sale, limited/prohibited, assault weapons)  (Possession, limited/prohibited, assault weapons)",
CS184-SIM-4,CS184,"(Legislatures, try to alter, definitions of assault weapons)",
CS185-SIM-1,CS185,"(definition,varies,jurisdiction) (Its,defines,vary) (Its,refers,different)",
CS185-SIM-2,CS185,"(Government, limit/prohibit, manufacture/importation/sale/possession of assault weapons)",
CS185-SIM-3,CS185,"(Legislative attempts,are often made to change,definitions of assault weapons)",
CS186-SIM-1,CS186,"(Scandinavia, influenced by, Timber), (Timber, influenced, Architecture in Scandinavia)",
CS186-SIM-2,CS186," (Timber, construct, roofs)  (Europe, construct, roofs)",
CS187-SIM-1,CS187," (Faizi, is going to, Switzerland) (Faizi, is studying, hotel management at the University of Lausanne)",
CS187-SIM-2,CS187,"(He, returns, with_much_fanfare), (He, completes, course)",
CS187-SIM-3,CS187,"(He,has studied,to become a chef)",
CS187-SIM-4,CS187,"(He,Has not studied,Hotel Management)",
CS188-SIM-1,CS188,"(Daniel, be, mortally wounded)",
CS188-SIM-2,CS188,"(He, give, Arytom)(He, give, reward)",
CS188-SIM-3,CS188,"(Reward,is,envelope)",
CS188-SIM-4,CS188,"(envelope,contain,directions) (directions,lead_to,missile_silo)",
CS189-SIM-1,CS189,"(Daniel, is wounded, mortally)",
CS189-SIM-2,CS189,"(He, gives, Arytom), (He, reward, Arytom)",
CS189-SIM-3,CS189,"(The reward, is, an envelope containing directions to a functioning missile silo)",
CS190-SIM-1,CS190,"(Daniel, be, mortally wounded)",
CS190-SIM-2,CS190,"(He, gives, Arytom)(Arytom, receives, reward)",
CS190-SIM-3,CS190,"(Reward,contains,envelope), (Envelope,contains,directions), (Directions,lead_to,missile_silo)",
CS191-SIM-1,CS191,"(band, experiment, altered states of consciousness), (band, occur, Reformation Day)",
CS191-SIM-2,CS191,"(They, rehearsed, night)(They, rehearsed, riff)(They, jamming, riff)",
CS191-SIM-3,CS191,"(They,played,extended periods of time) (They,played,longer freeform improvised pieces of music)",
CS192-SIM-1,CS192,"(band,experimenting_with,altered_states_of_consiousness), (band,beginning_experimenting,after_Reformation_Day)",
CS192-SIM-2,CS192," (They, rehearsed, night)  (They, rehearsed, riff)  (They, rehearsed, extended periods of time)",
CS192-SIM-3,CS192,"(They,improvised,longer pieces of music)",
CS193-SIM-1,CS193,"(band, began experimenting with, altered states of consciousness), (Reformation Day, caused, altered states of consciousness)",
CS193-SIM-2,CS193,"(They,rehearsed,frequently)(They,jamming,night)(They,jamming,riff)(They,jamming,extended periods of time)",
CS193-SIM-3,CS193,"(They,created,longer freeform improvised pieces of music)",
CS194-SIM-1,CS194,"(John von Neumann, studied, equivalence groups)",
CS194-SIM-2,CS194,"(He, identified, class of amenable groups)",
CS194-SIM-3,CS194,"(These groups, have, no paradoxical decompositions)",
CS195-SIM-1,CS195,"(Angry crowds, burned, books) (Angry crowds, ended, war) (War, ended, public)",
CS195-SIM-2,CS195,"(Hamsun, was imprisoned in, a psychiatric hospital), (Hamsun, was imprisoned for, several months)",
CS196-SIM-1,CS196," (Angry crowds,burned,his books) (Angry crowds,burned,in public) (War,ended,Angry crowds)",
CS196-SIM-2,CS196," (Hamsun, was confined to, psychiatric hospital)  (Hamsun, for, several months)",
CS197-SIM-1,CS197,"(He,is,a hypnotist)",
CS197-SIM-2,CS197,"(He, is , an I Ching practitioner)",
CS197-SIM-3,CS197,"(He,has experimented,successfully with occult therapeutic techniques)",
CS198-SIM-1,CS198,"(Amasova, is an agent of, KGB), (Amasova, is in, film)",
CS198-SIM-2,CS198,"(Amasova, agent of , Otdyel IV), (Otdyel IV, novelisation by , Christopher Wood)",
CS198-SIM-3,CS198,"(SMERSH, is, a department of Otdyel IV)",
CS199-SIM-1,CS199,"(solvents,separation of,reaction components), (non-traditional solvents,simpler with,separation of reaction components)",
CS199-SIM-2,CS199,"(Evaporation, be used to separate, reaction components), (Condensation, be used to separate, reaction components)",
CS199-SIM-3,CS199," (Evaporation, is, a viable option)  (Solvent, of, Evaporation)  (Reaction components, for separating, Evaporation) (Air, into, Solvent)",
CS199-SIM-4,CS199,"(Recycling, of, solvent) (Recycling, be, possible) (Solvent, condense, cold vessel) (Solvent, recycle, cold vessel)",
CS200-SIM-1,CS200,"(separation, is simpler than, traditional organic solvents)",
CS200-SIM-2,CS200,"(Evaporation, into, air), (Evaporation,recyling,condensation), (condensation,into,cold recovery vessel)",
CS200-SIM-3,CS200,"(method,simpler,separation)",
CS201-SIM-1,CS201,"(Morrison, pleaded guilty to, threatening and breach of peace charges), (Morrison, occurred on, July 3 2013)",
CS201-SIM-2,CS201,"(The strangulation charge,was dropped,April 2014) (The strangulation charge,occurred in,April 2014)",
CS202-SIM-1,CS202,"(Morrison, pleaded guilty, July 3, 2013)",
CS202-SIM-2,CS202," (Charge, Dropped, April 2014)  (Strangulation Charge, Dropped, April 2014)",
CS203-SIM-1,CS203,"(It, is updated, manually)",
CS203-SIM-2,CS203,N/A,
CS203-SIM-3,CS203,"(It, includes, versions of articles), (versions of articles, have been previously deleted, null)",
CS204-SIM-1,CS204,N/A,
CS204-SIM-2,CS204,No triples can be extracted from this sentence.,
CS204-SIM-3,CS204,"(It, includes, versions of articles)(versions of articles, have been, previously deleted)",
CS205-SIM-1,CS205," (Salt Lake City, is between, Wasatch Range)  (Salt Lake City, is between, Mount Nebo)",
CS205-SIM-2,CS205,"(Nephi, Utah, lies) (Wasatch Range, located_at, Southern End)",
CS205-SIM-3,CS205,"(Mount Nebo, is the highest peak, in the Wasatch Range)",
CS206-SIM-1,CS206,"(Salt Lake City, is located, between the Wasatch Range), (Salt Lake City, is located, Mount Nebo)",
CS206-SIM-2,CS206,"(Mount Nebo, rises above, Nephi, Utah), (Mount Nebo, is, highest peak), (highest peak, in, Wasatch Range)",
CS207-SIM-1,CS207,"(The Philippines, has, many islands)",
CS207-SIM-2,CS207," ('Philippine islands', 'inhabit', 'Several ethnic groups')  ('Several ethnic groups', 'inhabit', 'Philippine islands')",
CS207-SIM-3,CS207,"(Most of their languages, come from, Austronesian)",
CS208-SIM-1,CS208,"(The Philippines,have,many islands)",
CS208-SIM-2,CS208," (These islands, be home to, many ethnic groups)  (Many ethnic groups, live in, these islands)",
CS208-SIM-3,CS208,"(islands,speak,Austronesian)(Most,spoken,Austronesian)(languages,are,Austronesian)",
CS209-SIM-1,CS209,"(The Philippines, have, many inhabited islands)",
CS209-SIM-2,CS209," (ethnolinguistic groups, live, islands)  (groups, inhabit, islands)",
CS209-SIM-3,CS209,"(Most of these languages, are, Austronesian)",
CS210-SIM-1,CS210,"(Jull Weber, is from, Puerto Rico)",
CS210-SIM-2,CS210,"(Honey Estrella, is from, Dominican Republic)",
CS210-SIM-3,CS210,"(Jull Weber,conduct,Program), (Hony Estrella,conduct,Program)",
CS211-SIM-1,CS211,"(Harry Binswanger, born, Richmond, Virginia)",
CS211-SIM-2,CS211,"(Harry Binswanger, be raised in, Richmond, Virginia)",
CS211-SIM-3,CS211,"(Binswanger Glass Co., founded, 1872)(Samuel Binswanger, founded, Binswanger Glass Co.)",
CS212-SIM-1,CS212," (U.S. Congress, passed, Spooner Amendment) (Spooner Amendment, passed on, March 2, 1902)",
CS212-SIM-2,CS212,"(The Amendment, was to, Army Appropriation Act)",
CS212-SIM-3,CS212,"(President,establish,civil government in Philippines)",
CS213-SIM-1,CS213,"(Congress, passed, Spooner Amendment), (Spooner Amendment, passed by, Congress), (March 2, 1902, passed, Spooner Amendment)",
CS213-SIM-2,CS213," (The amendment, allowed, President)  (President, create, civil government) (civil government, in, Philippines)",
CS213-SIM-3,CS213," (The Spooner Amendment, was an amendment to, the Army Appropriation Act) (The Spooner Amendment, pertained to, the Army Appropriation Act)",
CS213-SIM-4,CS213,"(U.S. Congress,passed,Spooner Amendment)(U.S. Congress,passed,190)",
CS214-SIM-1,CS214,"(Lohr, grew, size and importance), (Lohr, grew, 1295 CE)",
CS214-SIM-2,CS214,"(County Rieneck, become, Center)",
CS215-SIM-1,CS215,"(Dr Samuel Fisk Green, founded, The Green Memorial Hospital) (The Green Memorial Hospital, located in, Manipay, Sri Lanka)(The Green Memorial Hospital, founded in, 1848)",
CS215-SIM-2,CS215," (The Green Memorial Hospital, established, 1848)  (Manipay, located in, Sri Lanka)",
CS215-SIM-3,CS215,"(Dr Samuel Fisk Green,set up,The Green Memorial Hospital)",
CS215-SIM-4,CS215," (Dr Samuel Fisk Green,establish,The Green Memorial Hospital)  (The Green Memorial Hospital,located_in,Manipay) (Dr Samuel Fisk Green, do, establish The Green Memorial Hospital in 1848)",
CS216-SIM-1,CS216,"(Dr Samuel Fisk Green,found,Green Memorial Hospital) (Dr Samuel Fisk Green,locate,Manipay, Sri Lanka) (Green Memorial Hospital,establish,1848)",
CS216-SIM-2,CS216," (The Green Memorial Hospital, was established in, Manipay)  (The Green Memorial Hospital, is located in, Sri Lanka)  (The Green Memorial Hospital, was established in, 1848)",
CS216-SIM-3,CS216,"(Dr Green,establish,Green Memorial Hospital), (Green Memorial Hospital,be located in,Sri Lanka), (Green Memorial Hospital,be founded in,1848)",
CS216-SIM-4,CS216," (Green Memorial Hospital, originated in, Manipay Sri Lanka)  (Green Memorial Hospital, located in, Manipay Sri Lanka)  (Green Memorial Hospital, established in, 1848)",
CS216-SIM-5,CS216,"(Green Memorial Hospital, founding of, 1848), (1848, marked, founding)",
CS217-SIM-1,CS217,"(Dr Samuel Fisk Green, founded, Green Memorial Hospital) (Green Memorial Hospital, in, Manipay) (Green Memorial Hospital, in, Sri Lanka) (Green Memorial Hospital, founded, 1848)",
CS217-SIM-2,CS217," (The Green Memorial Hospital, was established, in Manipay, Sri Lanka) (The Green Memorial Hospital, was established, in 1848)",
CS217-SIM-3,CS217,"(Green Memorial Hospital, found, 1848), (Green Memorial Hospital, located, Manipay, Sri Lanka)",
CS217-SIM-4,CS217," (Dr Samuel Fisk Green, is the founder of, Green Memorial Hospital),  (Green Memorial Hospital, located in, Manipay),  (Green Memorial Hospital, located in, Sri Lanka)",
CS218-SIM-1,CS218,"(Canadian cavalry, fought, through the wood)",
CS218-SIM-2,CS218,"(them,be forced,eastwards) (German machine gun,fire,them)",
CS218-SIM-3,CS218,"(Canadian Dragoons, wheeled into, woods)",
CS218-SIM-4,CS218," (German, attack, this action) (this action, caused by, German attack)",
CS219-SIM-1,CS219,"(Canadian cavalry, fought, wood) (wood, fought through,Canadian cavalry)",
CS219-SIM-2,CS219,"(German, fired, machine gun) (them, forced, eastwards)",
CS219-SIM-3,CS219,"(Units of the Canadian Dragoons, had to wheel, into the woods)(Units of the Canadian Dragoons, located at, north)",
CS219-SIM-4,CS219,"(German,cause,movement)",
CS220-SIM-1,CS220,"(Weston Williamson, develop, offices) (Weston Williamson, build, offices) (Weston Williamson, build, 2002)",
CS220-SIM-2,CS220,"(Their, located_on, Tower Bridge Road) (Their, located_in, London)",
CS220-SIM-3,CS220," (office,has,60 architects)  (architects,working on,various projects)",
CS221-SIM-1,CS221,"(Weston Williamson,develop,offices), (Weston Williamson,build,offices), (Weston Williamson,develop,London), (Weston Williamson,build,London), (2001,develop,offices), (2001,build,offices), (2001,develop,London), (2001,build,London)",
CS221-SIM-2,CS221,"(Their, office_is_on, Tower Bridge Road)",
CS221-SIM-3,CS221,"(It,have,60 architects), (60 architects, working_on, different projects)",
CS222-SIM-1,CS222,"(Giske Bridge,opened,1987)",
CS222-SIM-2,CS222,"(Giske Bridge, had, toll), (Giske Bridge, ceased, toll)",
CS223-SIM-1,CS223,"(Giske Bridge, opened, 1987)",
CS223-SIM-2,CS223,"(Giske Bridge,have,toll), (Giske Bridge,remove,toll), (Giske Bridge,apply,toll) until 2009",
CS224-SIM-1,CS224,"(It, built, 1837)",
CS224-SIM-2,CS224,"(It,closed down,ten years later)",
CS224-SIM-3,CS224,"(The furnace, came into use, during the American Civil War)",
CS225-SIM-1,CS225,"(It,built,1837)",
CS225-SIM-2,CS225,"(It,close down, ten years later)",
CS225-SIM-3,CS225," (The furnace, came into use, again)  (American Civil War, came into use, The furnace)",
CS226-SIM-1,CS226,"(Stevens, be Senate President for, four terms from 2009 to 2012)",
CS226-SIM-2,CS226,"(He, led, bipartisan coalition), (bipartisan coalition, include, 10 Democrats), (bipartisan coalition, include, 6 Republicans)",
CS227-SIM-1,CS227," (Storytelling, have, ancient roots)  (Art, have, ancient roots)",
CS227-SIM-2,CS227,"(Most cultures, have, traditional fables) (Traditional fables, have, animals) (Animals, are, characters)",
CS227-SIM-3,CS227,"(Animals, feature in , Fables)(Fables, feature , Animals in human-like roles)",
CS228-SIM-1,CS228," (storytelling, have, ancient roots) (art, have, ancient roots)",
CS228-SIM-2,CS228,"(Most cultures, have, traditional fables) (Traditional fables, have, animals as characters)",
CS228-SIM-3,CS228,"(Animals, given, human-like characteristics)(Animals, have, traditional fables)",
CS229-SIM-1,CS229," (Both storytelling, have, ancient roots)  (Storytelling, have, ancient roots)  (Art, have, ancient roots)",
CS229-SIM-2,CS229," (Most cultures,have,traditional fables)  (Traditional Fables,take on,human characteristics) (Animals,have,human characteristics)",
CS230-SIM-1,CS230,"(Private individuals, provided, priests), (Private individuals, provided, temples), (Private individuals, provided, sacrifices)",
CS230-SIM-2,CS230,"(religious clubs, be created, purpose)",
CS231-SIM-1,CS231,"(Private individuals, provided, priests), (Private individuals, provided, temples), (Private individuals, provided, sacrifices), (sacrifices, for, other deities)",
CS231-SIM-2,CS231,"(Many religious clubs, were created for, this purpose)",
CS232-SIM-1,CS232,"(private individuals, provided, priests), (private individuals, provided, temples), (private individuals, provided, sacrifices),( sacrifices, for, other deities)",
CS232-SIM-2,CS232,"(Many religious clubs, were created, for this purpose)",
CS233-SIM-1,CS233,"(He, has won, 48 events on the Japan Golf Tour); (48 events on the Japan Golf Tour, is won by, He)",
CS233-SIM-2,CS233,"(He, be, leading money winner in 1982)",
CS233-SIM-3,CS233,"(He,be,leading money winner in 1983)",
CS233-SIM-4,CS233,"(He, be, leading money winner in 1985)",
CS233-SIM-5,CS233,"(He, be, leading money winner in 1986)",
CS234-SIM-1,CS234,"(He, has won, 48 events on the Japan Golf Tour)",
CS234-SIM-2,CS234,"(He, was the leading money winner, 1982), (He, was the leading money winner, 1983)",
CS234-SIM-3,CS234,"(He, be, leading money winner in 1985)",
CS234-SIM-4,CS234,"(He, be, leading money winner in 1986)",
CS235-SIM-1,CS235,"(Urchin Software Configuration Management system,is,free)",
CS235-SIM-2,CS235," (The Urchin Software Configuration Management system, is, open source)  (The Urchin Software Configuration Management system, is, open)  (Urchin Software Configuration Management system, is, open source)",
CS235-SIM-3,CS235," (solution, manage, configuration)  (enterprise scale solution, provide, manage)  (configuration, manage, software applications)",
CS235-SIM-4,CS235,"(these applications, run on, many servers) (many servers, across, enterprise)",
CS236-SIM-1,CS236,"(Urchin Software Configuration Management system,be,free), (Urchin Software Configuration Management system,be,open source)",
CS236-SIM-2,CS236,"(Solution, provides, enterprise scale solution) (enterprise scale solution, manages, configurations of many software applications)",
CS236-SIM-3,CS236," (Applications,run,many servers) (Many servers,across,enterprise)",
CS237-SIM-1,CS237,"(Nitric oxide, can diffuse, all over)",
CS237-SIM-2,CS237," (Nitric oxide molecules, act on, neurons) (neurons, be acted on by, Nitric oxide molecules)",
CS237-SIM-3,CS237,"( Nitric oxide molecules, act on, neurons); (neurons, not connected by, synapses)",
CS237-SIM-4,CS237,"(neurotransmitter, transmit, information)(neuron, transmit, information)",
CS238-SIM-1,CS238,"(nitric oxide, diffuses, all over)",
CS238-SIM-2,CS238,"(It,act on,neurons), (It,act on,synapse)",
CS239-SIM-1,CS239,"(Viral RNA transcript, inhibits, expression of ICP0 gene), (expression of ICP0 gene, inhibited by, Viral RNA transcript)",
CS239-SIM-2,CS239," (Antisense RNA mechanism, is used, during latent infection)  (Antisense RNA mechanism, has function, latent infection control)",
CS240-SIM-1,CS240,"(Viral RNA Transcript, Inhibits Expression Of, Gene)",
CS240-SIM-2,CS240,"(ICP0, is inhibited by, antisense RNA mechanism)",
CS240-SIM-3,CS240," (Viral RNA Transcript, inhibits, Gene Expression)  (Latent Infection, affects, Gene Expression)",
CS240-SIM-4,CS240,"(Antisense RNA, inhibits, ICP0 expression), (ICP0, inhibited by, Antisense RNA)",
CS241-SIM-1,CS241,"(He, referred to as, Prince of Tollywood), (Prince of Tollywood, referred by, media)",
CS241-SIM-2,CS241,"(He, is, a very popular and influential actor in Telugu cinema), (He, is, very popular), (He, is, influential), (He, is, an actor in Telugu cinema)",
CS241-SIM-3,CS241,"(Audience, labelled him as, Superstar of Telugu cinema)",
CS242-SIM-1,CS242,"(He, referred to as, Prince of Tollywood), (Prince of Tollywood, referred to as, He)",
CS242-SIM-2,CS242,"(He,be,one of the most popular and influential actors in Telugu cinema), (He,have,popularity), (He,have,influence)",
CS242-SIM-3,CS242,"(The audience, describe, him) , (him, be, superstar of Telugu cinema)",
CS243-SIM-1,CS243,"(He, referred to as, Prince of Tollywood), (He, referred to as, media)",
CS243-SIM-2,CS243,"(He,is,popular), (He,is,influential), (He,is,actor), (He,in,Telugu cinema)",
CS243-SIM-3,CS243,"(The audience,describe,him), (him,is,the superstar of Telugu cinema)",
CS244-SIM-1,CS244,"(school, divided_into, two sections)",
CS244-SIM-2,CS244,"(road, bisects, entrance) (entrance, bisected by, road)",
CS244-SIM-3,CS244,"(Underpass, Connected By, Gymnasium) (Gymnasium, Has, Mezzanine)",
CS244-SIM-4,CS244," (The mezzanine,is used,as an art gallery) (The mezzanine,function,art gallery)",
CS245-SIM-1,CS245,"(school, divide, primary section), (school, divide, secondary section)",
CS245-SIM-2,CS245,"(road, bisected, entrance)",
CS245-SIM-3,CS245,"(underpass, connect, gymnasium)",
CS245-SIM-4,CS245,"(The gymnasium, has, mezzanine)",
CS245-SIM-5,CS245,"(The mezzanine, is sometimes used as, an art gallery)",
CS246-SIM-1,CS246," (Lord Wei, is, only ethnic Chinese peer in The House of Lords)  (Lord Wei, is, ethnic Chinese)  (The House of Lords, has, Lord Wei)",
CS246-SIM-2,CS246,"(He, takes, interest)(He, takes, British Chinese community issues)",
CS246-SIM-3,CS246,"(He, focuses, social reform)",
CS246-SIM-4,CS246,"(UK,strengthen economic ties,China), (UK,strengthen cultural ties,China)",
CS247-SIM-1,CS247,"(Jim,Moved,New York City), (Jim,From, Nashville), (Jim,Year,2004)",
CS247-SIM-2,CS247,"(He, found, position), (position, at, Marvel Comics)",
CS247-SIM-3,CS247,"(He, handled, publicity), (He, handled, PR), (He, handled, publishing), (He, for, publishing)",
CS247-SIM-4,CS247,"(He, managed, press) (He, managed, panels) (He, managed, conventions) (Press, at, conventions) (Panels, at, conventions)",
CS248-SIM-1,CS248,"(Jim, moved to, New York City), (Jim, moved from, Nashville), (New York City, moved to, 2004), (Nashville, moved from, 2004)",
CS248-SIM-2,CS248,"(Jim, found, job), (job, at, Marvel Comics)",
CS248-SIM-3,CS248,"(His, handling, publicity), (His, handling, PR), (His, handling, publishing)",
CS248-SIM-4,CS248,"(He, managed, press) (He, managed, panels) (He, managed, conventions)",
CS249-SIM-1,CS249,"(reserves,had moved,close to the front)",
CS249-SIM-2,CS249,"(The reserves, be ready, to exploit a breakthrough)",
CS249-SIM-3,CS249,"(They, had advanced, on time)",
CS249-SIM-4,CS249,"(Reserves, bunched up with, Leading divisions)",
CS249-SIM-5,CS249,"(communication,block,lines)",
CS249-SIM-6,CS249,"(The reserves, suffered, casualties), (The reserves, held up, casualties)",
CS250-SIM-1,CS250,"(Faillouox, has been around, five centuries)",
CS250-SIM-2,CS250,"(Faillouox,mentioned,1445)",
CS251-SIM-1,CS251,"(Faillouox, have, long history)(Faillouox, have, five centuries)",
CS251-SIM-2,CS251,"(Faillouox,dates_back_to,1445)",
CS252-SIM-1,CS252,"(It,decide,sell) (premises,sell,Great Patrick Street)",
CS252-SIM-2,CS252," (A new feed mill, will be built, in the Belfast Harbour Estate)  (A new office block, will be built, in the Belfast Harbour Estate)",
CS253-SIM-1,CS253,"(Active shutter 3D systems, be used for, 3D films in theaters)",
CS253-SIM-2,CS253,"(CRT, present, 3D images), (plasma, present, 3D images), (LCD, present, 3D images)",
CS253-SIM-3,CS253,"(3D Films, can be displayed, with Active shutter 3D systems), (3D images, can be displayed, with Active shutter 3D systems)",
CS254-SIM-1,CS254,"(Active shutter 3D systems, are used to, present 3D films), (Active shutter 3D systems, present, 3D films), (some theaters, present, 3D films)",
CS254-SIM-2,CS254,"(3D images, be used for, CRT)(3D images, be used for, plasma)(3D images, be used for, LCD)(3D images, be used for, video displays)",
CS255-SIM-1,CS255," (Active shutter 3D systems, used to, present 3D films)",
CS255-SIM-2,CS255,"(CRT,present,3D images), (plasma,present,3D images), (LCD,present,3D images), (video displays,present,3D images)",
CS256-SIM-1,CS256,"(They, live in, Pleasanton, Florida)",
CS256-SIM-2,CS256,"(They,have,two sons)",
CS256-SIM-3,CS256,"(Mr. T, played, football), (Pain, played, football), (Mr. T, played, Pain), (football, played at, Brown University)",
CS256-SIM-4,CS256,"(Mike Rowe, attended, Monsters University)",
CS256-SIM-5,CS256,"(He, started, as a bench warmer on the football team)",
CS257-SIM-1,CS257,"(Walavne, No have, Railway station)",
CS257-SIM-2,CS257," (Nearest railway station, Located, Ranjangaon Road)",
CS257-SIM-3,CS257," (Ranjangaon Road, is, small village),  (Ranjangaon Road, in, Parner taluka).",
CS258-SIM-1,CS258,"(Walavne,have,Railway Station)",
CS258-SIM-2,CS258," (The nearest Railway Station, is in, Ranjangaon Road)",
CS258-SIM-3,CS258,"(Ranjangaon Road, is, small village) (Ranjangaon Road, located in, Parner Taluka)",
CS259-SIM-1,CS259,"(He,returned to, Genoa),(He,returned in, 1916)",
CS259-SIM-2,CS259,"(He, opened, studio), (He, opened, Genoa)",
CS259-SIM-3,CS259,"(He, worked, portrait artist)",
CS259-SIM-4,CS259,"(He, paint, landscapes), (He, be, native of Liguria)",
CS259-SIM-5,CS259,"(He, covered, entire region), (He, covered, neighbouring regions)",
CS260-SIM-1,CS260,"(He, return to, Genoa), (He, return to, 1916)",
CS260-SIM-2,CS260,"(He, opened, studio)",
CS260-SIM-3,CS260,"(He, was, portrait artist)",
CS260-SIM-4,CS260,"(He,painted,landscapes of Liguria), (landscapes of Liguria, painted by, He)",
CS260-SIM-5,CS260,"(He, covered, region)",
CS260-SIM-6,CS260,"(He, painted, neighbouring regions)",
CS261-SIM-1,CS261,"(They,built,palace)",
CS261-SIM-2,CS261,"(The palace, was, large)",
CS261-SIM-3,CS261,"(It, be located, on the hill of Bribir)",
CS261-SIM-4,CS261,"(area, control, It),  (It, be, ideal place)",
CS261-SIM-5,CS261,"(sea, overlooks, roads), (sea, overlooks, approaches)",
CS261-SIM-6,CS261,NA,
CS262-SIM-1,CS262,"(Arjuna, be unaware of, Karna being his brother)",
CS262-SIM-2,CS262,"(Kunti, informed, Karna) (Kunti, of, brotherhood) (Karna, of, brotherhood)",
CS262-SIM-3,CS262,"(Karna, knew, they were brothers)",
CS262-SIM-4,CS262,"(Karna, decided to fight, Arjuna)",
CS263-SIM-1,CS263,"(He,got,primary education), (He,got_education_in,South America)",
CS263-SIM-2,CS263,"(He, moved, United States), (He, moved in, 1987)",
CS264-SIM-1,CS264,"(He, renamed, shipping department)(He, renamed, Anchor Line of Steam Packet)(shipping department, renamed to, Anchor Line of Steam Packet)(renaming, happened in, 1870)",
CS264-SIM-2,CS264,"(He,commissioned,pennant), (He,designed,artist William Cook)",
CS264-SIM-3,CS264,"(The pennant, featured, an anchor)",
CS265-SIM-1,CS265,"(He, moved, to Jerusalem), (He, moved, in early 1990s)",
CS265-SIM-2,CS265,"(He,was,21)",
CS265-SIM-3,CS265,"(He, studied at, Rubin Academy of Music and Dance)",
CS265-SIM-4,CS265,"(He,received,M.A.) (He,received,piano)",
CS265-SIM-5,CS265,"(His, taught by, Meira Smailovic) (His, taught by, Arbo Valdma) (His, taught by, Irina Berkovich)",
CS266-SIM-1,CS266,"(He, move, Jerusalem), (He, move, early 1990s)",
CS266-SIM-2,CS266,"(He, be, 21) (He, move, 21)",
CS266-SIM-3,CS266,"(He, attended, Rubin Academy of Music and Dance), (He, in, Jerusalem)",
CS266-SIM-4,CS266,"(He, obtained, M.A. in piano)",
CS266-SIM-5,CS266,"(He, studied under, Meira Smailovic) (He, studied under, Arbo Valdma) (He, studied under, Irina Berkovich)",
CS267-SIM-1,CS267,"(La Calle, is, port town)",
CS267-SIM-2,CS267,"(This,in,province)",
CS268-SIM-1,CS268,"(La Calle,is a,port town)",
CS268-SIM-2,CS268,"(La Calle, is in, this Province)",
CS269-SIM-1,CS269,"(Kate,became,strong Category 3 hurricane), (strong Category 3 hurricane,on,October 4)",
CS269-SIM-2,CS269,"(Kate, move, southeast of Newfoundland), (Kate, be, Category 1 hurricane)",
